MON,DAY,YEAR,HR,MIN,TMZN,TMPF,SKNT,GUST,WNUM,P01I,P24I,SNOW
6,15,2013, 1,51,CDT, 61.0,3.5,,,,,
6,15,2013, 2,51,CDT, 62.1,5.8,,,,,
6,15,2013, 3,51,CDT, 63.0,3.5,,,,,
6,15,2013, 4,51,CDT, 64.0,0.0,,,,,
6,15,2013, 5,51,CDT, 64.0,4.6,,,,,
6,15,2013, 6,51,CDT, 66.0,8.1,,,,,
6,15,2013, 7,51,CDT, 68.0,9.2,,,,,
6,15,2013, 8,51,CDT, 70.0,6.9,,,,,
6,15,2013, 9,51,CDT, 69.1,0.0,,13,0.00,,
6,15,2013, 10,51,CDT, 70.0,4.6,,,0.00,,
6,15,2013, 11,51,CDT, 71.1,12.7,,,0.01,,
6,15,2013, 12,51,CDT, 72.0,10.4,,,0.02,,
6,15,2013, 13,51,CDT, 73.9,8.1,,,,,
6,15,2013, 14,51,CDT, 75.9,4.6,,,,,
6,15,2013, 15,51,CDT, 78.1,5.8,,,,,
6,15,2013, 16,51,CDT, 81.0,6.9,,,,,
6,15,2013, 17,51,CDT, 80.1,8.1,,,,,
6,15,2013, 18,51,CDT, 79.0,9.2,,,,,
6,15,2013, 19,51,CDT, 79.0,9.2,,,,,
6,15,2013, 20,51,CDT, 78.1,8.1,,,,,
6,15,2013, 21,51,CDT, 77.0,8.1,19.6,,,,
6,15,2013, 22,38,CDT, 73.4,4.6,,77,0.09,,
6,15,2013, 22,51,CDT, 73.0,4.6,,5,0.09,,
6,15,2013, 22,54,CDT, 73.4,5.8,,,,,
6,15,2013, 23,51,CDT, 73.9,15.0,,,,,
6,16,2013, 0,51,CDT, 72.0,17.3,28.8,,,,
6,16,2013, 1,51,CDT, 70.0,12.7,,,,,
6,16,2013, 2,51,CDT, 70.0,8.1,,,,,
6,16,2013, 3,51,CDT, 70.0,9.2,,,,,
6,16,2013, 4,51,CDT, 71.1,9.2,,,,,
6,16,2013, 5,51,CDT, 70.0,12.7,,,,,
6,16,2013, 6,51,CDT, 69.1,9.2,,,,0.12,
6,16,2013, 7,51,CDT, 72.0,8.1,,,,,
6,16,2013, 8,51,CDT, 73.0,5.8,,,,,
6,16,2013, 9,51,CDT, 75.0,0.0,,,,,
6,16,2013, 10,51,CDT, 78.1,6.9,,,,,
6,16,2013, 11,24,CDT, 77.0,8.1,,,,,
6,16,2013, 11,51,CDT, 78.1,9.2,,,,,
6,16,2013, 12,51,CDT, 80.1,12.7,,,,,
6,16,2013, 13,51,CDT, 81.0,10.4,,,,,
6,16,2013, 14,51,CDT, 82.0,12.7,,,,,
6,16,2013, 15,51,CDT, 82.9,15.0,19.6,,,,
6,16,2013, 16,51,CDT, 82.9,15.0,,,,,
6,16,2013, 17,51,CDT, 82.9,12.7,,,,,
6,16,2013, 18,51,CDT, 82.0,12.7,,,,,
6,16,2013, 19,51,CDT, 81.0,6.9,,,,,
6,16,2013, 20,51,CDT, 79.0,6.9,,,,,
6,16,2013, 21,51,CDT, 78.1,6.9,,,,,
6,16,2013, 22,51,CDT, 75.0,9.2,,,,,
6,16,2013, 23,51,CDT, 73.9,6.9,,,,,
6,17,2013, 0,51,CDT, 73.9,9.2,,,,,
6,17,2013, 1,51,CDT, 73.9,5.8,,,,,
6,17,2013, 2,51,CDT, 73.0,4.6,,,,,
6,17,2013, 3,51,CDT, 70.0,0.0,,,,,
6,17,2013, 4,51,CDT, 69.1,0.0,,,,,
6,17,2013, 5,51,CDT, 68.0,0.0,,,,,
6,17,2013, 6,51,CDT, 70.0,3.5,,,,,
6,17,2013, 7,51,CDT, 75.0,3.5,,,,,
6,17,2013, 8,51,CDT, 80.1,6.9,,,,,
6,17,2013, 9,51,CDT, 81.0,9.2,,,,,
6,17,2013, 10,51,CDT, 82.9,4.6,,,,,
6,17,2013, 11,51,CDT, 86.0,10.4,,,,,
6,17,2013, 12,51,CDT, 86.0,12.7,17.3,,,,
6,17,2013, 13,51,CDT, 87.1,11.5,,,,,
6,17,2013, 14,51,CDT, 86.0,8.1,17.3,,,,
6,17,2013, 15,51,CDT, 87.1,10.4,,,,,
6,17,2013, 16,51,CDT, 87.1,10.4,,,,,
6,17,2013, 17,51,CDT, 86.0,12.7,,,,,
6,17,2013, 18,51,CDT, 86.0,11.5,,,,,
6,17,2013, 19,51,CDT, 80.1,25.3,31.1,77,0.00,,
6,17,2013, 20,51,CDT, 70.0,8.1,,,0.10,,
6,17,2013, 21,51,CDT, 64.9,12.7,,,,,
6,17,2013, 22,51,CDT, 63.0,10.4,,,,,
6,17,2013, 23,51,CDT, 64.0,8.1,,,,,
6,18,2013, 0,51,CDT, 63.0,12.7,,,,,
6,18,2013, 1,51,CDT, 60.1,11.5,,,,,
6,18,2013, 2,51,CDT, 61.0,9.2,,,,,
6,18,2013, 3,51,CDT, 59.0,9.2,,,,,
6,18,2013, 4,51,CDT, 57.9,8.1,,,,,
6,18,2013, 5,17,CDT, 57.2,12.7,,,,,
6,18,2013, 5,22,CDT, 57.2,13.8,,,,,
6,18,2013, 5,37,CDT, 57.2,12.7,,31,,,
6,18,2013, 5,49,CDT, 57.2,11.5,,31,,,
6,18,2013, 5,51,CDT, 57.0,11.5,,31,,,
6,18,2013, 6,01,CDT, 57.2,13.8,,31,,,
6,18,2013, 6,16,CDT, 57.2,10.4,,31,,,
6,18,2013, 6,51,CDT, 57.9,10.4,,31,,0.10,
6,18,2013, 7,04,CDT, 57.2,11.5,,31,,,
6,18,2013, 7,51,CDT, 57.0,15.0,19.6,2493,0.01,,
6,18,2013, 8,10,CDT, 57.2,13.8,,31,0.00,,
6,18,2013, 8,51,CDT, 59.0,16.1,20.7,31,0.00,,
6,18,2013, 9,51,CDT, 61.0,15.0,,6,,,
6,18,2013, 10,51,CDT, 61.0,12.7,,,,,
6,18,2013, 11,31,CDT, 62.6,9.2,,,,,
6,18,2013, 11,51,CDT, 64.9,12.7,,,,,
6,18,2013, 11,59,CDT, 66.2,11.5,,,,,
6,18,2013, 12,51,CDT, 66.9,12.7,,,,,
6,18,2013, 13,51,CDT, 68.0,15.0,,,,,
6,18,2013, 14,51,CDT, 69.1,13.8,21.9,,,,
6,18,2013, 15,51,CDT, 69.1,16.1,,,,,
6,18,2013, 16,51,CDT, 69.1,16.1,,,,,
6,18,2013, 17,51,CDT, 66.9,18.4,24.2,,,,
6,18,2013, 18,51,CDT, 64.9,17.3,,,,,
6,18,2013, 19,51,CDT, 63.0,17.3,,,,,
6,18,2013, 20,51,CDT, 61.0,13.8,,,,,
6,18,2013, 21,51,CDT, 60.1,8.1,,,,,
6,18,2013, 22,51,CDT, 59.0,6.9,,,,,
6,18,2013, 23,51,CDT, 59.0,5.8,,,,,
6,19,2013, 0,51,CDT, 59.0,5.8,,,,,
6,19,2013, 1,51,CDT, 59.0,3.5,,,,,
6,19,2013, 2,51,CDT, 59.0,4.6,,,,,
6,19,2013, 3,51,CDT, 57.9,4.6,,,,,
6,19,2013, 4,51,CDT, 59.0,5.8,,,,,
6,19,2013, 5,51,CDT, 59.0,6.9,,,,,
6,19,2013, 6,51,CDT, 62.1,8.1,,,,0.01,
6,19,2013, 7,51,CDT, 64.0,9.2,,,,,
6,19,2013, 8,51,CDT, 66.9,6.9,,,,,
6,19,2013, 9,51,CDT, 68.0,6.9,,,,,
6,19,2013, 10,51,CDT, 72.0,5.8,,,,,
6,19,2013, 11,51,CDT, 72.0,4.6,,,,,
6,19,2013, 12,51,CDT, 73.0,9.2,,,,,
6,19,2013, 13,51,CDT, 73.9,11.5,,,,,
6,19,2013, 14,51,CDT, 75.0,11.5,20.7,,,,
6,19,2013, 15,51,CDT, 73.9,10.4,,,,,
6,19,2013, 16,51,CDT, 73.0,10.4,,,,,
6,19,2013, 17,51,CDT, 73.0,10.4,,,,,
6,19,2013, 18,51,CDT, 72.0,9.2,,,,,
6,19,2013, 19,51,CDT, 70.0,8.1,,,,,
6,19,2013, 20,51,CDT, 66.9,6.9,,,,,
6,19,2013, 21,51,CDT, 64.9,8.1,,,,,
6,19,2013, 22,51,CDT, 64.9,3.5,,,,,
6,19,2013, 23,51,CDT, 64.0,4.6,,,,,
6,20,2013, 0,51,CDT, 64.0,3.5,,,,,
6,20,2013, 1,51,CDT, 64.0,4.6,,,,,
6,20,2013, 2,51,CDT, 63.0,3.5,,,,,
6,20,2013, 3,51,CDT, 63.0,0.0,,,,,
6,20,2013, 4,51,CDT, 63.0,4.6,,,,,
6,20,2013, 5,51,CDT, 64.0,4.6,,,,,
6,20,2013, 6,51,CDT, 66.9,4.6,,,,,
6,20,2013, 7,51,CDT, 72.0,8.1,,,,,
6,20,2013, 8,51,CDT, 75.9,6.9,,,,,
6,20,2013, 9,51,CDT, 79.0,6.9,,,,,
6,20,2013, 10,51,CDT, 80.1,8.1,,,,,
6,20,2013, 11,51,CDT, 82.0,3.5,,,,,
6,20,2013, 12,51,CDT, 82.9,3.5,,,,,
6,20,2013, 13,51,CDT, 82.0,10.4,,,,,
6,20,2013, 14,51,CDT, 84.0,12.7,,,,,
6,20,2013, 15,51,CDT, 84.0,12.7,,,,,
6,20,2013, 16,51,CDT, 84.9,13.8,,,,,
6,20,2013, 17,51,CDT, 82.9,12.7,,,,,
6,20,2013, 18,51,CDT, 81.0,11.5,,,,,
6,20,2013, 19,51,CDT, 79.0,10.4,,,,,
6,20,2013, 20,51,CDT, 75.9,6.9,,,,,
6,20,2013, 21,51,CDT, 75.0,5.8,,,,,
6,20,2013, 22,51,CDT, 75.0,5.8,,,,,
6,20,2013, 23,51,CDT, 77.0,5.8,,,,,
6,21,2013, 0,51,CDT, 75.9,5.8,,,,,
6,21,2013, 1,51,CDT, 75.0,6.9,,,,,
6,21,2013, 2,51,CDT, 73.9,5.8,,,,,
6,21,2013, 3,51,CDT, 75.0,5.8,,,,,
6,21,2013, 4,51,CDT, 73.9,8.1,,,,,
6,21,2013, 5,51,CDT, 73.9,8.1,,,,,
6,21,2013, 6,51,CDT, 75.0,9.2,17.3,,,,
6,21,2013, 7,51,CDT, 78.1,9.2,,,,,
6,21,2013, 8,51,CDT, 80.1,13.8,23.0,,,,
6,21,2013, 9,51,CDT, 82.0,13.8,23.0,,,,
6,21,2013, 10,51,CDT, 84.0,16.1,,,,,
6,21,2013, 11,51,CDT, 84.9,15.0,23.0,,,,
6,21,2013, 12,51,CDT, 84.0,8.1,,,,,
6,21,2013, 13,19,CDT, 75.2,24.2,39.1,5,,,
6,21,2013, 13,25,CDT, 75.2,18.4,33.4,5,,,
6,21,2013, 13,51,CDT, 71.1,11.5,,5,,,
6,21,2013, 14,01,CDT, 71.6,10.4,,,,,
6,21,2013, 14,21,CDT, 69.8,6.9,,77,0.01,,
6,21,2013, 14,42,CDT, 71.6,10.4,,13,0.04,,
6,21,2013, 14,51,CDT, 71.1,10.4,,66,0.06,,
6,21,2013, 15,13,CDT, 71.6,11.5,,13,0.03,,
6,21,2013, 15,51,CDT, 73.0,19.6,29.9,13,0.05,,
6,21,2013, 16,51,CDT, 73.9,9.2,24.2,,,,
6,21,2013, 17,51,CDT, 75.9,4.6,,,,,
6,21,2013, 18,51,CDT, 75.9,3.5,,,,,
6,21,2013, 19,51,CDT, 75.9,9.2,,,,,
6,21,2013, 20,51,CDT, 75.0,5.8,,,,,
6,21,2013, 21,51,CDT, 73.9,6.9,,,,,
6,21,2013, 22,51,CDT, 73.9,9.2,,,,,
6,21,2013, 23,51,CDT, 75.0,9.2,,,,,
6,22,2013, 0,51,CDT, 75.9,12.7,19.6,,,,
6,22,2013, 1,51,CDT, 75.0,10.4,,,,,
6,22,2013, 2,51,CDT, 75.0,8.1,,,,,
6,22,2013, 3,51,CDT, 75.0,4.6,,,,,
6,22,2013, 4,34,CDT, 75.2,4.6,,,,,
6,22,2013, 4,51,CDT, 75.0,4.6,,,,,
6,22,2013, 5,51,CDT, 73.0,6.9,,,,,
6,22,2013, 6,51,CDT, 72.0,6.9,,,,0.11,
6,22,2013, 7,51,CDT, 72.0,5.8,,,,,
6,22,2013, 8,51,CDT, 75.0,4.6,,,,,
6,22,2013, 9,51,CDT, 77.0,4.6,,,,,
6,22,2013, 10,51,CDT, 78.1,6.9,,,,,
6,22,2013, 11,51,CDT, 81.0,5.8,,,,,
6,22,2013, 12,51,CDT, 78.1,10.4,,,,,
6,22,2013, 13,51,CDT, 75.9,9.2,,,,,
6,22,2013, 14,51,CDT, 77.0,6.9,,,,,
6,22,2013, 15,51,CDT, 79.0,0.0,,,,,
6,22,2013, 16,51,CDT, 80.1,12.7,,,,,
6,22,2013, 17,51,CDT, 79.0,15.0,,,,,
6,22,2013, 18,51,CDT, 80.1,13.8,19.6,,,,
6,22,2013, 19,51,CDT, 79.0,13.8,,,,,
6,22,2013, 20,51,CDT, 75.9,5.8,,,,,
6,22,2013, 21,51,CDT, 73.9,8.1,,,,,
6,22,2013, 22,51,CDT, 73.0,8.1,,,,,
6,22,2013, 23,51,CDT, 72.0,8.1,,,,,
6,23,2013, 0,51,CDT, 70.0,6.9,,,,,
6,23,2013, 1,51,CDT, 70.0,5.8,,,,,
6,23,2013, 2,51,CDT, 70.0,6.9,,,,,
6,23,2013, 3,51,CDT, 70.0,6.9,,,,,
6,23,2013, 4,51,CDT, 69.1,4.6,,,,,
6,23,2013, 5,51,CDT, 69.1,4.6,,,,,
6,23,2013, 6,51,CDT, 69.1,5.8,,,,,
6,23,2013, 7,51,CDT, 73.0,8.1,,,,,
6,23,2013, 8,51,CDT, 75.9,11.5,19.6,,,,
6,23,2013, 9,51,CDT, 78.1,12.7,21.9,,,,
6,23,2013, 10,51,CDT, 81.0,10.4,,,,,
6,23,2013, 11,51,CDT, 84.0,12.7,17.3,,,,
6,23,2013, 12,51,CDT, 86.0,11.5,16.1,,,,
6,23,2013, 13,51,CDT, 87.1,13.8,19.6,,,,
6,23,2013, 14,51,CDT, 84.9,13.8,21.9,,,,
6,23,2013, 15,51,CDT, 88.0,13.8,19.6,,,,
6,23,2013, 16,29,CDT, 87.8,23.0,33.4,5,,,
6,23,2013, 16,51,CDT, 81.0,12.7,21.9,77,0.00,,
6,23,2013, 17,51,CDT, 80.1,11.5,,77,0.00,,
6,23,2013, 18,20,CDT, 78.8,3.5,,,0.00,,
6,23,2013, 18,51,CDT, 80.1,9.2,,,0.00,,
6,23,2013, 19,51,CDT, 80.1,5.8,,,0.00,,
6,23,2013, 20,51,CDT, 80.1,8.1,,,,,
6,23,2013, 21,51,CDT, 78.1,11.5,,,,,
6,23,2013, 22,51,CDT, 77.0,9.2,,,,,
6,23,2013, 23,51,CDT, 75.9,8.1,,,,,
6,24,2013, 0,51,CDT, 75.0,10.4,,,,,
6,24,2013, 1,51,CDT, 73.9,9.2,,,,,
6,24,2013, 2,51,CDT, 73.0,9.2,,,,,
6,24,2013, 3,51,CDT, 72.0,10.4,,,,,
6,24,2013, 4,25,CDT, 71.6,10.4,,,,,
6,24,2013, 4,51,CDT, 72.0,9.2,,6,,,
6,24,2013, 5,30,CDT, 71.6,11.5,,31,,,
6,24,2013, 5,51,CDT, 72.0,10.4,,31,,,
6,24,2013, 6,51,CDT, 73.0,11.5,,,,,
6,24,2013, 7,51,CDT, 73.0,12.7,21.9,,,,
6,24,2013, 8,51,CDT, 73.0,10.4,,,,,
6,24,2013, 9,51,CDT, 73.0,10.4,,13,0.00,,
6,24,2013, 10,51,CDT, 73.0,12.7,,13,0.00,,
6,24,2013, 11,51,CDT, 75.9,9.2,,,0.00,,
6,24,2013, 12,51,CDT, 82.9,15.0,24.2,,,,
6,24,2013, 13,51,CDT, 84.0,11.5,,,,,
6,24,2013, 14,51,CDT, 84.0,12.7,,,,,
6,24,2013, 15,51,CDT, 84.0,16.1,19.6,,,,
6,24,2013, 16,51,CDT, 84.0,16.1,,,,,
6,24,2013, 17,51,CDT, 84.9,15.0,21.9,,,,
6,24,2013, 18,00,CDT, 84.2,41.4,66.7,805,,,
6,24,2013, 18,04,CDT, 75.2,43.7,66.7,64485,,,
6,24,2013, 18,09,CDT, 71.6,27.6,66.7,866,0.06,,
6,24,2013, 18,14,CDT, 69.8,17.3,43.7,78,0.10,,
6,24,2013, 18,18,CDT, 69.8,13.8,34.5,77,0.10,,
6,24,2013, 18,42,CDT, 69.8,12.7,,13,0.13,,
6,24,2013, 18,51,CDT, 69.1,12.7,,13,0.13,,
6,24,2013, 19,51,CDT, 69.1,9.2,18.4,,0.01,,
6,24,2013, 20,51,CDT, 69.1,8.1,,,,,
6,24,2013, 21,51,CDT, 69.1,9.2,,,,,
6,24,2013, 22,51,CDT, 69.1,6.9,,,,,
6,24,2013, 23,51,CDT, 70.0,9.2,,,,,
6,25,2013, 0,51,CDT, 70.0,6.9,,,,,
6,25,2013, 1,25,CDT, 69.8,6.9,,,,,
6,25,2013, 1,51,CDT, 71.1,5.8,,,,,
6,25,2013, 2,26,CDT, 71.6,6.9,,,,,
6,25,2013, 2,51,CDT, 73.0,9.2,,,,,
6,25,2013, 3,51,CDT, 73.0,5.8,,,,,
6,25,2013, 4,08,CDT, 71.6,11.5,24.2,,,,
6,25,2013, 4,51,CDT, 73.0,0.0,,,,,
6,25,2013, 5,25,CDT, 71.6,0.0,,,,,
6,25,2013, 5,51,CDT, 73.0,0.0,,,,,
6,25,2013, 6,30,CDT, 73.4,5.8,,,,,
6,25,2013, 6,51,CDT, 73.0,10.4,,,,0.14,
6,25,2013, 7,51,CDT, 72.0,8.1,,,,,
6,25,2013, 8,51,CDT, 75.0,6.9,,,,,
6,25,2013, 9,51,CDT, 78.1,4.6,,,,,
6,25,2013, 10,51,CDT, 79.0,10.4,,13,0.00,,
6,25,2013, 11,04,CDT, 78.8,4.6,,13,0.00,,
6,25,2013, 11,51,CDT, 80.1,12.7,,,0.00,,
6,25,2013, 12,51,CDT, 82.0,15.0,19.6,,,,
6,25,2013, 13,51,CDT, 86.0,12.7,24.2,,,,
6,25,2013, 14,51,CDT, 84.9,18.4,24.2,,,,
6,25,2013, 15,51,CDT, 87.1,10.4,16.1,,,,
6,25,2013, 16,51,CDT, 86.0,11.5,,,,,
6,25,2013, 17,51,CDT, 84.9,9.2,,,,,
6,25,2013, 18,51,CDT, 84.0,8.1,,,,,
6,25,2013, 19,17,CDT, 82.4,9.2,,5,,,
6,25,2013, 19,51,CDT, 82.0,6.9,,,,,
6,25,2013, 20,20,CDT, 77.0,10.4,,5,,,
6,25,2013, 20,38,CDT, 77.0,12.7,,,,,
